forecast_date,candidate,model_prediction,baseline_prediction,alpha,beta,mase_score,baseline_mase_score,electoral_winner_model,electoral_winner_baseline
2024-10-26,Donald Trump,47.723898566765726,46.08714285714285,0.1,0.2,0.7585830856823,1.0498689814133084,,
2024-10-26,Kamala Harris,48.46257000728655,48.6,0.1,0.2,0.5386757746811364,0.8908558918602058,,
2024-10-27,Donald Trump,47.762428602586624,47.27315541601256,0.1,0.2,0.7196592715578813,1.6147925168508912,,
2024-10-27,Kamala Harris,48.30033275063055,48.87362637362637,0.1,0.2,0.547102932277167,1.567117837375541,,
2024-10-28,Donald Trump,47.65776213195922,48.19534161490682,0.1,0.1,0.7356733385108146,1.431972767657376,,
2024-10-28,Kamala Harris,48.05042110795159,48.502173913043485,0.1,0.2,0.5502388605611996,0.909779258114306,,
2024-10-29,Donald Trump,47.22274097332981,45.94930875576037,0.3,0.2,0.7322516882135718,1.0076574502267748,,
2024-10-29,Kamala Harris,47.97125539119528,48.82258064516129,0.1,0.2,0.5575044212324036,0.9110071643593658,,
2024-10-30,Donald Trump,47.69242110978905,48.56530278232406,0.1,0.1,0.7591426900671632,1.0229043030246123,,
2024-10-30,Kamala Harris,49.464188196977965,49.14255319148936,0.4,0.4,0.5254273385426057,0.5996959435119664,,
2024-10-31,Donald Trump,47.612641430546496,46.89172932330828,0.1,0.1,0.7674308906140184,0.8205698843513922,,
2024-10-31,Kamala Harris,48.37580740315506,48.72821052631579,0.1,0.1,0.530040729962445,0.8618209298056458,,
2024-11-01,Donald Trump,47.43747629248317,45.98214285714285,0.1,0.2,0.7614581744990186,1.2717440929674813,,
2024-11-01,Kamala Harris,48.51514752932284,48.83035714285714,0.4,0.2,0.5340201267213056,0.5721286123177568,,
2024-11-02,Donald Trump,47.100617487517695,48.12143526576516,0.2,0.3,0.7693809732934401,1.064988339410242,,
2024-11-02,Kamala Harris,48.82890702751581,49.48594189315838,0.2,0.3,0.5335124013690361,0.7634529963291252,,
2024-11-03,Donald Trump,47.4661092383708,46.65189504373178,0.1,0.2,0.7700330063077347,1.489953090887845,,
2024-11-03,Kamala Harris,48.82976741800191,48.1530612244898,0.2,0.4,0.4638169746852192,1.470721241291933,,
2024-11-04,Donald Trump,47.31848206892617,47.57506493506494,0.2,0.2,0.7321911822987535,1.4824286086344869,,
2024-11-04,Kamala Harris,48.66243654308722,48.71454545454546,0.3,0.3,0.4626859145211621,0.7998838419827039,,
2024-11-05,Donald Trump,47.54275215055697,47.68267532467532,0.1,0.1,0.7265190619844757,1.0517041798900693,Harris,Harris
2024-11-05,Kamala Harris,48.36773132568298,48.063428571428574,0.2,0.4,0.473208009072336,0.8018217063063643,Harris,Harris
2024-10-24,Donald Trump,48.788749869762256,48.34220779220779,0.1,0.4,0.7068143285378631,0.8114974765844754,,
2024-10-24,Kamala Harris,48.590168606791806,48.979090909090914,0.2,0.1,0.5523589739522745,0.9346143269987004,,
2024-10-25,Donald Trump,47.57605493944967,48.85200642054574,0.1,0.1,0.7677363351589321,1.1470849232485492,,
2024-10-25,Kamala Harris,48.63752282919381,49.07865168539326,0.1,0.3,0.5493094679290624,0.5987739763607107,,
2024-10-23,Donald Trump,47.78868500608551,47.17422867513612,0.30000000000000004,0.1,0.739506231056514,1.0315694646094244,,
2024-10-23,Kamala Harris,48.79364867867395,48.950090744101644,0.2,0.1,0.5462382284573561,0.8029978018237264,,
